Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     4095     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::move_iterator<std::vector<int, std::allocator<int> >*>::operator++()
  0.00      0.00     0.00     4095     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00     4095     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      0.00     0.00     4095     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.00     0.00     3786     0.00     0.00  Vec3<float> const& std::forward<Vec3<float> const&>(std::remove_reference<Vec3<float> const&>::type&)
  0.00      0.00     0.00     2761     0.00     0.00  void std::swap<Vec2<int> >(Vec2<int>&, Vec2<int>&)
  0.00      0.00     0.00     2559     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      0.00     0.00     2493     0.00     0.00  Model::nfaces()
  0.00      0.00     0.00     2492     0.00     0.00  Vec3<float>::normalize(float)
  0.00      0.00     0.00     2492     0.00     0.00  Model::face(int)
  0.00      0.00     0.00     2492     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt6vectorIiSaIiEEE9constructIS3_IRKS3_EEEvPT_DpOT0_
  0.00      0.00     0.00     2492     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00     2492     0.00     0.00  Vec3<float>::norm() const
  0.00      0.00     0.00     2492     0.00     0.00  Vec3<float>::operator^(Vec3<float> const&) const
  0.00      0.00     0.00     2492     0.00     0.00  Vec3<float>::operator*(Vec3<float> const&) const
  0.00      0.00     0.00     2492     0.00     0.00  Vec3<float>::operator*(float) const
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.00     0.00     2492     0.00     0.00  _ZNSt16allocator_traitsISaISt6vectorIiSaIiEEEE12_S_constructIS2_IRKS2_EEENSt9enable_ifIXsrNS4_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS3_PSA_DpOSB_
  0.00      0.00     0.00     2492     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<std::vector<int, std::allocator<int> > const&>)({parm#3}))) std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.00     0.00     2492     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.00     0.00     2492     0.00     0.00  std::sqrt(float)
  0.00      0.00     0.00     2059     0.00     0.00  bool std::operator==<Vec3<float>*>(std::move_iterator<Vec3<float>*> const&, std::move_iterator<Vec3<float>*> const&)
  0.00      0.00     0.00     2059     0.00     0.00  bool std::operator!=<Vec3<float>*>(std::move_iterator<Vec3<float>*> const&, std::move_iterator<Vec3<float>*> const&)
  0.00      0.00     0.00     2047     0.00     0.00  std::move_iterator<Vec3<float>*>::operator*() const
  0.00      0.00     0.00     2047     0.00     0.00  std::move_iterator<Vec3<float>*>::operator++()
  0.00      0.00     0.00     2047     0.00     0.00  void std::_Construct<Vec3<float>, Vec3<float> >(Vec3<float>*, Vec3<float>&&)
  0.00      0.00     0.00     2047     0.00     0.00  Vec3<float>* std::__addressof<Vec3<float> >(Vec3<float>&)
  0.00      0.00     0.00     2047     0.00     0.00  std::remove_reference<Vec3<float>&>::type&& std::move<Vec3<float>&>(Vec3<float>&)
  0.00      0.00     0.00     2047     0.00     0.00  Vec3<float>&& std::forward<Vec3<float> >(std::remove_reference<Vec3<float> >::type&)
  0.00      0.00     0.00     1846     0.00     0.00  TGAColor::TGAColor(unsigned char, unsigned char, unsigned char, unsigned char)
  0.00      0.00     0.00     1841     0.00     0.00  triangle(Vec2<int>, Vec2<int>, Vec2<int>, TGAImage&, TGAColor)
  0.00      0.00     0.00     1258     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI4Vec3IfEE9constructIS2_IRKS2_EEEvPT_DpOT0_
